"run_id","queue_id","candidate_model_id","window_id","grid_id","nominal_start_year","nominal_end_year","complete_case_start_year","complete_case_end_year","effective_start_year","effective_end_year","n_complete_case","n_effective","n_lost_first_difference","n_lost_lead_lag","n_lost_missing","sample_status","sample_rule_status"
"D12F_RUN_001","D12F_QUEUE_001","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11",1929,1973,1931,1973,1933,1972,43,40,1,2,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_002","D12F_QUEUE_002","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22",1929,1973,1931,1973,1934,1971,43,38,1,4,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_003","D12F_QUEUE_003","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00",1929,1973,1931,1973,1932,1973,43,42,1,0,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_004","D12F_QUEUE_004","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11",1974,2024,1974,2024,1976,2023,51,48,1,2,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_005","D12F_QUEUE_005","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22",1974,2024,1974,2024,1977,2022,51,46,1,4,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_006","D12F_QUEUE_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00",1974,2024,1974,2024,1975,2024,51,50,1,0,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_007","D12F_QUEUE_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33",1974,2024,1974,2024,1978,2021,51,44,1,6,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_008","D12F_QUEUE_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11",1945,1973,1945,1973,1947,1972,29,26,1,2,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_009","D12F_QUEUE_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00",1945,1973,1945,1973,1946,1973,29,28,1,0,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_010","D12F_QUEUE_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11",1940,1978,1940,1978,1942,1977,39,36,1,2,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_011","D12F_QUEUE_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22",1940,1978,1940,1978,1943,1976,39,34,1,4,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_012","D12F_QUEUE_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00",1940,1978,1940,1978,1941,1978,39,38,1,0,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_013","D12F_QUEUE_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11",1940,1973,1940,1973,1942,1972,34,31,1,2,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_014","D12F_QUEUE_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00",1940,1973,1940,1973,1941,1973,34,33,1,0,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
"D12F_RUN_015","D12F_QUEUE_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00",1947,1973,1947,1973,1948,1973,27,26,1,0,0,"PASS_SAMPLE_SURVIVAL","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE"
