"year","date","K_ME","K_NRC","K_cap","k_ME","k_NRC","k_Kcap","g_K_ME","g_K_NRC","g_Kcap","ME_NRC_gap","ME_share","NRC_share","omega_NFC","omega_CORP","pi_res_NFC","pi_res_CORP","e_NFC","e_CORP","ln_e_NFC","ln_e_CORP","IPP_stock","IPP_growth","IPP_share_total_fixed_assets","IPP_share_capital_plus_IPP","IPP_to_Kcap","GOV_TRANS_stock","GOV_TRANS_growth","GOV_TRANS_to_Kcap","GOV_TRANS_to_NRC","GOV_TRANS_to_ME","y_t","Delta_ME_NRC_gap","Delta_ME_share","Delta_NRC_share","q_omega_h1_Kcap","q_omega_h3_Kcap","q_omega_h5_Kcap","q_e_h1_Kcap","q_e_h3_Kcap","q_e_h5_Kcap","q_omega_h1_Kcap__full_long_sample","q_omega_h1_Kcap__pre_1974_full","q_omega_h1_Kcap__post_1973_full","q_omega_h1_Kcap__fordist_core","q_omega_h1_Kcap__bridge_1940_1978","q_omega_h1_Kcap__pre_1974_alt_1940_1973","q_omega_h1_Kcap__pre_1974_alt_1947_1973","g_ME_minus_NRC","q_omega_h1_ME","q_omega_h1_NRC","q_omega_h1_ME_minus_NRC","q_omega_h1_ME_share","q_omega_h1_NRC_share","q_omega_h1_ME_NRC_gap"
1925,"1925-12-31",23154,71469,94623,10.0499228307657,11.1770190682314,11.457655854453,,,,-1.12709623746576,0.244697378015916,0.755302621984084,,,,,,,,,1237,,0.0129042353432088,0.0129042353432088,0.0130729315282754,16944,,0.179068513997654,0.237081811694581,0.731795802021249,,,,,,,,,,,,,,,,,,,,,,,,
1926,"1926-12-31",24187,73122,97309,10.0935705777238,11.1998845580516,11.4856467613271,0.0436477469581735,0.022865489820127,0.0279909068741286,-1.10631398032771,0.248558715021221,0.751441284978779,,,,,,,,,1297,0.0473648119239565,0.0131534912022717,0.0131533578078413,0.013328674634412,16855,-0.0052664401730258,0.173211110996927,0.230505183118624,0.696861950634638,,0.02078225713805,0.003861337005305,-0.003861337005305,,,,,,,,,,,,,,0.0207822571380465,,,,,,
1927,"1927-12-31",24400,74232,98632,10.1023384112813,11.214950603033,11.4991510315484,0.00876783355744593,0.0150660449814577,0.0135042702212882,-1.11261219175172,0.247384216075919,0.752615783924081,,,,,,,,,1357,0.0452224755184254,0.0135714928642151,0.0135714928642151,0.0137582123448779,17695,0.0486347651114016,0.179404250141942,0.238374286022201,0.725204918032787,,-0.00629821142400999,-0.001174498945302,0.00117449894530197,,,,,,,,,,,,,,-0.00629821142401177,,,,,,
1928,"1928-12-31",24644,75987,100631,10.1122887421345,11.2383175520057,11.5192156402724,0.00995033085316877,0.0233669489727042,0.0200646087240308,-1.12602880987126,0.244894714352436,0.755105285647564,,,,,,,,,1468,0.0786245493395912,0.0143782015494765,0.0143782015494765,0.0145879500352774,17545,-0.00851310476224754,0.174349852431159,0.230894758313922,0.711937997078396,,-0.0134166181195401,-0.002489501723483,0.00248950172348295,,,,,,,,,,,,,,-0.0134166181195354,,,,,,
1929,"1929-12-31",24427,75022,99449,10.103444356875,11.225536682838,11.5074002289274,-0.00884438525945974,-0.0127808691677505,-0.0118154113450295,-1.12209232596297,0.245623384850526,0.754376615149474,0.632503689129365,0.624785607415246,0.367496310870635,0.375214392584754,0.581018446511338,0.600549033350856,-0.54297277304501,-0.509910986589368,1610,0.0923332488040485,0.015931287663642,0.015931287663642,0.016189202505807,18080,0.0300373459288519,0.181801727518628,0.240995974514143,0.740164571990011,13.4956269359913,0.00393648390829004,0.000728670498090001,-0.000728670498090001,,,,,,,,,,,,,,0.00393648390829076,,,,,,
1930,"1930-12-31",23086,71367,94453,10.0469816521749,11.1755908566134,11.4558576352627,-0.0564627047001451,-0.0499458262245938,-0.0515425936646814,-1.12860920443852,0.244417858617513,0.755582141382487,0.636138668552111,0.639461995101499,0.363861331447889,0.360538004898501,0.571984300649508,0.563814593612049,-0.558643734395942,-0.573029816259594,1657,0.0287745594480535,0.0172406617417542,0.0172406617417542,0.0175431166823711,18086,0.000331803354258753,0.191481477560268,0.253422450152031,0.783418522047994,13.4168942123394,-0.00651687847555005,-0.00120552623301301,0.00120552623301307,-0.0326008806402068,,,-0.0299471977002183,,,-0.0326008806402068,-0.0326008806402068,,,,,,-0.0065168784755513,-0.0357128690210637,-0.0315909193436698,-0.00412194967739395,-0.000762499789722955,0.000762499789722991,-0.00412194967739316
1931,"1931-12-31",21030,63993,85023,9.95370526869675,11.0665289813599,11.3506770871054,-0.093276383478111,-0.109061875253449,-0.105180548157355,-1.11282371266318,0.247344836103172,0.752655163896828,0.663881911320595,0.670321830576547,0.336118088679405,0.329678169423453,0.506291981974322,0.491820726083015,-0.680641736642986,-0.709641006771631,1639,-0.0109224386827327,0.0189125568299832,0.0189125568299832,0.0192771367747551,17270,-0.046167266159701,0.203121508297755,0.269873267388621,0.821207798383262,13.2806380545344,0.0157854917753402,0.00292697748565901,-0.00292697748565907,-0.0995102945026078,,,-0.0901088199799349,,,-0.0995102945026078,-0.0995102945026078,,,,,,0.015785491775338,-0.0950495834141854,-0.100969395457195,0.00591981204300987,0.00109946377088617,-0.00109946377088617,0.00591981204301203
1932,"1932-12-31",18864,60612,79476,9.84501062277715,11.0122481722561,11.283210368273,-0.108694645919593,-0.054280809103874,-0.0674667188323728,-1.1672375494789,0.237354673108863,0.762645326891137,0.677734147194899,0.68242345931589,0.322265852805101,0.31757654068411,0.475504818724185,0.465365802345764,-0.74337826303293,-0.76493151094747,1574,-0.0404661497664813,0.0194198714389705,0.0194201110425663,0.0198047209220394,14142,-0.199821798976538,0.177940510342745,0.233320134626807,0.749681933842239,13.0846874202084,-0.0544138368157201,-0.00999016299430902,0.00999016299430899,-0.144300228751573,-0.0434603571644998,,-0.124266678774881,-0.0373157236502002,,-0.144300228751573,-0.144300228751573,,,,,,-0.054413836815719,-0.1672099926976,-0.137005442753103,-0.0302045499444966,-0.00553282473217998,0.00553282473217996,-0.0302045499444952
1933,"1933-12-31",18938,60987,79925,9.84892576454344,11.0184160056892,11.288843973928,0.00391514176629215,0.00616783343312122,0.00563360565506166,-1.16949024114573,0.23694713794182,0.76305286205818,0.664517937219731,0.669816937044203,0.335482062780269,0.330183062955797,0.50485027414593,0.492945228307966,-0.683493380507432,-0.707357209878176,1591,0.0107425993604382,0.019517401278261,0.0195176407085726,0.0199061620269002,18084,0.24587847625031,0.226262120738192,0.296522209651237,0.954905481043405,13.0834488246619,-0.00225269166682995,-0.000407535167042977,0.00040753516704306,-0.140482141827307,-0.0397463937595888,,-0.121587872139108,-0.0343979269837728,,-0.140482141827307,-0.140482141827307,,,,,,-0.00225269166682907,-0.164556567431475,-0.132825291421267,-0.0317312760102081,-0.00580902523106778,0.00580902523106782,-0.0317312760102072
1934,"1934-12-31",19402,61585,80987,9.87313143252123,11.0281736133756,11.3020439269469,0.0242056679777836,0.0097576076864101,0.0131999530188605,-1.15504218085436,0.23956931359354,0.76043068640646,0.622061999745903,0.628208955223881,0.377938000254097,0.371791044776119,0.607556803676283,0.591827037301021,-0.498309604144778,-0.52454085350839,1752,0.0963952431585504,0.0211752761729798,0.0211750202443829,0.0216331016089002,21846,0.188990268988992,0.269746996431526,0.354729236015263,1.12596639521699,13.2616569919742,0.0144480602913699,0.00262217565171999,-0.00262217565171996,-0.131710536275817,-0.0309194355951742,0.00864537880247515,-0.114923872238823,-0.0278567031359152,0.00696865072734264,-0.131710536275817,-0.131710536275817,,,,,,0.0144480602913735,-0.148471466877852,-0.126341186089294,-0.0221302807885583,-0.00406654247595901,0.00406654247595907,-0.0221302807885598
