"stage_id","variable_id","asset_scope","transformation_family","s29g_classification","s29g_downstream_role","s29h_contract_status","authoritative_variable_id","source_variable_id","unit","first_observed_year","last_observed_year","first_fully_supported_year","baseline_start_year","baseline_end_year","warmup_observation_count","fully_supported_observation_count","permitted_use","prohibited_use","explicit_future_authorization_required","baseline_estimation_allowed","warmup_use_allowed","contract_note"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_ME_GPIM_2017","ME","source_preserved","DIAGNOSTIC_ONLY","component_diagnostic","DIAGNOSTIC_ONLY","CFC_ME_GPIM_2017","CFC_ME_GPIM_2017","millions_2017_dollars",1901,2024,1925,NA,NA,24,100,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_NRC_GPIM_2017","NRC","source_preserved","DIAGNOSTIC_ONLY","component_diagnostic","DIAGNOSTIC_ONLY","CFC_NRC_GPIM_2017","CFC_NRC_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_ME","ME","cfc_rate_diagnostic","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","CFC_RATE_N_ME","CFC_ME_GPIM_2017","decimal_rate",1902,2024,1926,NA,NA,24,99,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_NRC","NRC","cfc_rate_diagnostic","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","CFC_RATE_N_NRC","CFC_NRC_GPIM_2017","decimal_rate",1902,2024,1932,NA,NA,30,93,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_TOT","TOT","cfc_rate_diagnostic","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","CFC_RATE_N_TOT","CFC_TOT_GPIM_2017","decimal_rate",1902,2024,1932,NA,NA,30,93,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_TOT_GPIM_2017","TOT","tot_alias","DIAGNOSTIC_ONLY","capital_diagnostic","DIAGNOSTIC_ONLY","CFC_TOT_GPIM_2017","CFC_CORE_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","ME","first_difference","DIAGNOSTIC_ONLY","component_diagnostic","DIAGNOSTIC_ONLY","DELTA_G_ME","G_ME_GPIM_2017","millions_2017_dollars",1902,2024,1926,NA,NA,24,99,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","NRC","first_difference","DIAGNOSTIC_ONLY","component_diagnostic","DIAGNOSTIC_ONLY","DELTA_G_NRC","G_NRC_GPIM_2017","millions_2017_dollars",1902,2024,1932,NA,NA,30,93,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","ME","first_difference","DIAGNOSTIC_ONLY","investment_flow_diagnostic","DIAGNOSTIC_ONLY","DELTA_I_ME","I_ME_REAL_2017","millions_2017_dollars",1902,2024,1926,NA,NA,24,99,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Investment is an accumulation flow and cannot substitute for the productive-capital stock."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","NRC","first_difference","DIAGNOSTIC_ONLY","investment_flow_diagnostic","DIAGNOSTIC_ONLY","DELTA_I_NRC","I_NRC_REAL_2017","millions_2017_dollars",1902,2024,1932,NA,NA,30,93,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Investment is an accumulation flow and cannot substitute for the productive-capital stock."
