"release_id","release_date","file","path","sha256"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","README.md","data/releases/chapter2_us_source_of_truth_v1_1_candidate/README.md","7c2e8d1c714dd71706473ca000bb67a9ee3a8322858676214179b47dcec5a121"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_SOURCE_OF_TRUTH_LONG.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_SOURCE_OF_TRUTH_LONG.csv","8976a029a346500595e564fba89cd450842334c47fe6eed7d5c036ab6fdf6059"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_SOURCE_OF_TRUTH_WIDE.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_SOURCE_OF_TRUTH_WIDE.csv","5fd7a8355b60146659478278e3acf830a11d4d0fbcc8053df08038e16cbaa27a"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_VARIABLE_DICTIONARY.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_VARIABLE_DICTIONARY.csv","cbf05179d51cc03f7b3aa740937e5ef407286e7a11d53a3d35789ca6912daf97"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_PROVENANCE_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_PROVENANCE_LEDGER.csv","19eb8cc32e6a051c2869709ff1b83a8475e037effb563f5164bd6be09c5d60d1"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_ADMISSIBILITY_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_ADMISSIBILITY_LEDGER.csv","24226b7a90fab27812a685101a4c6240adc5ea61c9dcc3ade1c4b4b365f09b8e"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_SUPPORT_WINDOW_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_SUPPORT_WINDOW_LEDGER.csv","3ae34445bb3ee64dc613fbfdc56e2dea729e89d4fe065111421c230d4afe19e4"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_RELEASE_MANIFEST.csv","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_RELEASE_MANIFEST.csv","08423f9f849741c43c9d8ec6b285753b2ae957f2bbc357268dd34d38f2d4da84"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_VALIDATION_SUMMARY.md","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_VALIDATION_SUMMARY.md","b73fdadb0c24516ed32dd5321d9163ad0b7235b1fa8faa605bb2a2f420d014d6"
"chapter2_us_source_of_truth_v1_1_candidate","2026-06-24","CH2_US_V1_1_CANDIDATE_CONSUMPTION_CONTRACT.md","data/releases/chapter2_us_source_of_truth_v1_1_candidate/CH2_US_V1_1_CANDIDATE_CONSUMPTION_CONTRACT.md","edba0fb1607a151f6f730e618dd9ff2530b84a81a605ce87b97c145f2f8a3ae5"
