"window","basis","variable","param","estimate","boot_mean","boot_sd","ci_low","ci_high","P_VECM","DLR","B_eff","fail_share"
"fordism","raw","beta","const",-0.0686387303213022,-0.50818616860885,4.26194314207239,-1.91425957246861,0.982015669889134,1,"const",199,0
"fordism","raw","beta","e2logK",-0.128271829795194,1.74523662321793,24.2165112891878,-6.10050454288434,4.53697709007358,1,"const",199,0
"fordism","raw","beta","elogK",5.24289260307437,-0.237893210594013,6.51822040148893,-7.55356925991441,4.2868721752159,1,"const",199,0
"fordism","raw","beta","logK",-4.39680474596627,-1.77809103795557,8.56242379499643,-5.70643169488878,4.27517265835847,1,"const",199,0
"fordism","raw","beta","logY",1,1,0,1,1,1,"const",199,0
"fordism","raw","dEquation e2logK","alphaECT",0.00601204706547737,-0.00324016866374926,0.0597171949958756,-0.166109982653291,0.107049634329473,1,"const",199,0
"fordism","raw","dEquation e2logK","e2logK -1",-0.403414645367087,0.0656875720120808,1.6582531404618,-3.11923617769174,3.07616970617245,1,"const",199,0
"fordism","raw","dEquation e2logK","elogK -1",0.5809832738404,-0.025962981557754,1.29238052483098,-2.44595145988367,2.34503281697567,1,"const",199,0
"fordism","raw","dEquation e2logK","logK -1",-0.0201489549276246,-0.0194986887227555,0.394980578860033,-0.784116589817934,0.716124613435976,1,"const",199,0
"fordism","raw","dEquation e2logK","logY -1",-0.188161609713472,0.0023195125791491,0.253028151796275,-0.443348070375566,0.524053072560847,1,"const",199,0
"fordism","raw","dEquation elogK","alphaECT",-9.91218702141236e-05,-0.00766408590390155,0.0745349183704492,-0.187041400617175,0.125991214882876,1,"const",199,0
"fordism","raw","dEquation elogK","e2logK -1",-0.883271893627778,0.101417009596815,2.1451245283392,-3.96925697509681,4.13775127418398,1,"const",199,0
"fordism","raw","dEquation elogK","elogK -1",1.01235867038788,-0.0404706719419801,1.67895941709216,-3.21519155751021,3.10957043085388,1,"const",199,0
"fordism","raw","dEquation elogK","logK -1",0.155766473473113,-0.0184612487456071,0.511166568457,-1.05418844082119,0.937773185201436,1,"const",199,0
"fordism","raw","dEquation elogK","logY -1",-0.212458867811928,-0.00520230333365551,0.339514804854236,-0.628240636079046,0.673111746542084,1,"const",199,0
"fordism","raw","dEquation logK","alphaECT",0.0135551343054833,0.0138135095285335,0.0543226093288008,-0.0940360900047557,0.130455445520321,1,"const",199,0
"fordism","raw","dEquation logK","e2logK -1",0.686444561176684,-0.050060847256923,1.49457832823557,-2.72556082926452,2.80604057640939,1,"const",199,0
"fordism","raw","dEquation logK","elogK -1",-0.613405546523672,0.0584381164244449,1.14515611240124,-2.1129362496825,2.23865050884789,1,"const",199,0
"fordism","raw","dEquation logK","logK -1",0.924972321363292,-0.0279924741251861,0.275569960234962,-0.575361300589356,0.493195254230619,1,"const",199,0
"fordism","raw","dEquation logK","logY -1",-0.0291566624916207,-0.00916911606291326,0.169332397760263,-0.339025324262845,0.322591629108743,1,"const",199,0
"fordism","raw","dEquation logY","alphaECT",-0.0324168591828043,-0.0494296382827556,0.102822594442983,-0.247423447858851,0.149687132560983,1,"const",199,0
"fordism","raw","dEquation logY","e2logK -1",-0.614013635934524,0.275159008852273,2.18899568069995,-4.51231989864983,4.13505541799029,1,"const",199,0
"fordism","raw","dEquation logY","elogK -1",0.665787556534775,-0.12673067282755,1.69386869717352,-3.23723503142083,3.49080950921984,1,"const",199,0
"fordism","raw","dEquation logY","logK -1",0.40681931108927,0.0187282770039511,0.495658167488696,-0.999729910149204,0.864164955729314,1,"const",199,0
"fordism","raw","dEquation logY","logY -1",0.581827235288255,-0.0531379319671604,0.326445173001526,-0.630752159661063,0.596522760068589,1,"const",199,0
"fordism","ortho","beta","const",-0.0686387303214242,0.0164681765636291,0.100393316760146,-0.169085299156657,0.169865988609082,1,"const",199,0
"fordism","ortho","beta","e2logK",-2.04143626740312,-0.0517420456138041,0.780689504653837,-1.10355669346891,0.913575413207958,1,"const",199,0
