window,spec,basis,det_tag,DSR,DLR,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec,src_file,common_p_max,n_ties,PIC_star_min
full,Q1,raw,SR_const__LR_none,const,none,const,none,1,1,4,computed,-22.84242433774104,-23.361205995097095,582.470339878797,4.574710978503383,97,7,4,1,11,-1088.4241611484333,-1114.6188589940566,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_const__LR_none_unrestricted.csv,7,1,-22.84242433774104
full,Q1,raw,SR_none__LR_const,none,const,none,const,1,2,4,computed,-22.89106200191242,-23.457005628119024,587.1166220803567,4.574710978503383,97,12,0,0,14,-1076.848584112691,-1110.187290461666,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_const_unrestricted.csv,7,1,-22.89106200191242
full,Q1,raw,SR_none__LR_none,none,none,none,none,1,1,4,computed,-22.70854138750444,-23.03867516945829,566.8275948353138,4.574710978503383,97,7,0,0,7,-1084.9628596466164,-1101.6322128211038,TRUE,TRUE,NA,NA,NA,0.05000000000291038,APPX_grid_pic_table_Q1_raw_SR_none__LR_none_unrestricted.csv,7,1,-22.70854138750444
full,Q2,ortho,SR_const__LR_none,const,none,const,none,1,2,5,computed,-30.849920272653375,-31.840321618514935,856.0704098937015,4.574710978503383,97,16,5,1,21,-1566.0638297153691,-1616.071889238832,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_const__LR_none_unrestricted.csv,7,1,-30.849920272653375
full,Q2,ortho,SR_none__LR_const,none,const,none,const,1,3,5,computed,-30.946091001383955,-31.936492347245512,860.7346902371102,4.574710978503383,97,21,0,0,24,-1554.524248963325,-1611.6763169901392,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_const_unrestricted.csv,7,1,-30.946091001383955
full,Q2,ortho,SR_none__LR_none,none,none,none,none,1,1,5,computed,-30.840048178975564,-31.264505898630517,828.1433474792774,4.574710978503383,97,9,0,0,9,-1593.682270641969,-1615.1142961520245,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_none_unrestricted.csv,7,1,-30.840048178975564
full,Q2,raw,SR_const__LR_none,const,none,const,none,1,2,5,computed,-30.89657915668074,-31.886980502542297,858.3333657690755,4.574710978503383,97,16,5,1,21,-1570.5897414661172,-1620.59780098958,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_const__LR_none_unrestricted.csv,7,1,-30.89657915668074
full,Q2,raw,SR_none__LR_const,none,const,none,const,1,3,5,computed,-30.992749885411385,-31.98315123127294,862.9976461125153,4.574710978503383,97,21,0,0,24,-1559.050160714135,-1616.2022287409495,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_const_unrestricted.csv,7,1,-30.992749885411385
full,Q2,raw,SR_none__LR_none,none,none,none,none,1,1,5,computed,-30.886707063002824,-31.311164782657777,830.4063033546977,4.574710978503383,97,9,0,0,9,-1598.2081823928097,-1619.6402079028649,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_none_unrestricted.csv,7,1,-30.886707063002824
full,Q3,ortho,SR_const__LR_none,const,none,const,none,1,1,6,computed,-35.72643867190059,-36.52819214235994,945.7950925794458,4.574710978503383,97,11,6,1,17,-1773.3373836720073,-1813.8200985243343,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_const__LR_none_unrestricted.csv,7,1,-35.72643867190059
