"year","Y_real","K_total_real","K_real","K_t","capacity_register","y_t","k_t","omega_t","omega_k_t","a00_baseline_available","omega_k_formula","K_machinery_real","K_other_real","s_t","I_total","I_machinery","phi_t","s_ME_over_ME_NRC_gross_real","phi_ME_over_ME_NRC_real","s_ME_over_ME_NRC_gross_cc","phi_ME_over_ME_NRC_cc","s_t_proxy","phi_t_proxy","s_t_proxy_cc","phi_t_proxy_cc","pK_relative_ME_NRC","composition_status","composition_basis","composition_tier","a03_composition_status","a03_composition_basis","a03_composition_tier","direct_sector_asset_split","sector_target","external_pressure_t","D_external_high","GVA","EC","GOS","KNC","KNR","KGC","KGR","IGC","pY","pK","GVA_real","GVA_NF","KGC_NF","pK_NF","Wsh_NF","Py_fred","GOS_NF","EC_NF","Psh_NF","e_NF","KNC_NF","KNR_NF","IGC_NF","IGp_NF","KGR_NF","K_ME_gross_real","K_NRC_gross_real","K_ME_NRC_component_gross_real","IG_ME_real","IG_NRC_real","IG_ME_NRC_component_real","K_ME_gross_cc","K_NRC_gross_cc","K_ME_NRC_component_gross_cc","IG_ME_cc","IG_NRC_cc","IG_ME_NRC_component_cc","pK_ME","pK_NRC","K_IP_gross_real","K_IP_gross_cc","profitability_register","notes","layer_B1_A00","layer_C1_C2","layer_D1_D2","omega_dev","omega_dev_k_t","s_dev","s_dev_k_t","omega_s_dev_k_t","s_proxy_dev","s_proxy_dev_k_t","omega_s_proxy_dev_k_t","phi_proxy_dev","gY","gK","gK_machinery","L","A_t","Q_t","a_t","q_t","D_post1945","D_post1974"
1929,726233.54978355,881468.510833,881468.510833,881468.510833,"gross_real_GPIM_stock",13.4956269359913,13.6893445579279,0.632503689129365,8.65856093465239,TRUE,"omega_t * k_t",NA,NA,NA,7769,NA,NA,0.0322829923488461,0.0610918843397838,0.0607226640011239,0.111974110032362,0.0322829923488461,0.0610918843397838,0.0607226640011239,0.111974110032362,1.93790089762107,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,50825,32147,15725,102600,2408448.64541875,37550.5906607121,881468.510833001,7769,8.778,4.26000364156245,726233.54978355,50825,37550.5906607121,4.26000364156245,0.632503689129365,8.778,15725,32147,0.367496310870635,0.581018446511338,102600,2408448.64541875,7769,4.26000364156245,881468.510833001,94680.5605278803,2838150.43310411,2932830.99363199,10695.9382936709,164383.590014569,175079.52830824,6125.59142418228,94752.5819061068,100878.173330289,692,5488,6180,0.0646974562680001,0.0333853275714054,282207.352705819,15093.463055903,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.00972541350601097,0.13313453645211,NA,NA,NA,-0.00952216657867683,-0.130352219233493,-0.0824482595513839,-0.019054476855932,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1930,671248.179259785,1024632.46384834,1024632.46384834,1024632.46384834,"gross_real_GPIM_stock",13.4168942123394,13.8398445343971,0.636138668552111,8.80406027507958,TRUE,"omega_t * k_t",NA,NA,NA,6446,NA,NA,0.0325941923879691,0.0619416393917951,0.0646638210164007,0.119324796274738,0.0325941923879691,0.0619416393917951,0.0646638210164007,0.119324796274738,2.05192789733796,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,45259,28791,13477,97578,2450604.02445983,40798.7522910525,1024632.46384834,6446,8.457,3.98179383637911,671248.179259785,45259,40798.7522910525,3.98179383637911,0.636138668552111,8.457,13477,28791,0.363861331447889,0.571984300649508,97578,2450604.02445983,6446,3.98179383637911,1024632.46384834,98044.9194234274,2910003.82301502,3008048.74243845,9676.3962640724,146541.559203121,156217.955467193,6231.41341051602,90134.8902283541,96366.3036388701,615,4539,5154,0.0635567191768944,0.0309741483895944,260627.919974695,12611.9793510948,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.0133603929287569,0.184905761052454,NA,NA,NA,-0.00921096653955383,-0.127478344918959,-0.0810939046059731,-0.0182047218039207,-0.0787327236518998,0.150499976469201,NA,NA,NA,NA,NA,NA,0,0
1931,585743.965730855,1118348.18391257,1118348.18391257,1118348.18391257,"gross_real_GPIM_stock",13.2806380545344,13.9273633188381,0.663881911320595,9.24612457976658,TRUE,"omega_t * k_t",NA,NA,NA,4175,NA,NA,0.0322247717196607,0.0583063878146395,0.0692332339613761,0.121507472384665,0.0322247717196607,0.0583063878146395,0.0692332339613761,0.121507472384665,2.23387260634075,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,35431,23522,9113,87862,2442861.199738,40223.4511504233,1118348.18391257,4175,7.587,3.59668408542504,585743.965730855,35431,40223.4511504233,3.59668408542504,0.663881911320595,7.587,9113,23522,0.336118088679405,0.506291981974322,87862,2442861.199738,4175,3.59668408542504,1118348.18391257,97648.9792933972,2932596.82486293,3030245.80415633,6140.38783153159,99172.0498219954,105312.437653527,5947.62403576407,79959.4424907272,85907.0665264913,374,2704,3078,0.0609082048660619,0.0272657467991579,233813.254155229,10096.7450101953,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.041103635697241,0.572465268080638,NA,NA,NA,-0.00958038720786224,-0.133429533379046,-0.0885814536462964,-0.0218399733810763,-0.136256157805001,0.0875187844410004,NA,NA,NA,NA,NA,NA,0,0
1932,481512.475820896,1167166.14693141,1167166.14693141,1167166.14693141,"gross_real_GPIM_stock",13.0846874202084,13.970089272113,0.677734147194899,9.46800653907211,TRUE,"omega_t * k_t",NA,NA,NA,2552,NA,NA,0.031570395714467,0.0631042779236037,0.0741645394994815,0.14200477326969,0.031570395714467,0.0631042779236037,0.0741645394994815,0.14200477326969,2.45725668531655,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,25721,17432,5395,82123,2407158.17463178,39819.2302004044,1167166.14693141,2552,6.7,3.41161627289251,481512.475820896,25721,39819.2302004044,3.41161627289251,0.677734147194899,6.7,5395,17432,0.322265852805101,0.475504818724185,82123,2407158.17463178,2552,3.41161627289251,1167166.14693141,94911.409250254,2911430.67491821,3006342.08416846,3772.36190975,56007.4507095617,59779.8126193117,5988.00325683955,74751.4349875173,80739.4382443569,238,1438,1676,0.0630904472301208,0.0256751553906113,203699.464571891,8283.12131763086,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.0549558715715449,0.767738431881259,NA,NA,NA,-0.0102347632130559,-0.14298055576533,-0.0969028050270683,-0.0170420832721121,-0.195950634326,0.0427259532748998,NA,NA,NA,NA,NA,NA,0,0
1933,480916.445809027,1205967.55549457,1205967.55549457,1205967.55549457,"gross_real_GPIM_stock",13.0834488246619,14.0027927533324,0.664517937219731,9.30510695575984,TRUE,"omega_t * k_t",NA,NA,NA,2380,NA,NA,0.0309689999445112,0.0736366028294726,0.0706197656620666,0.158955223880597,0.0309689999445112,0.0736366028294726,0.0706197656620666,0.158955223880597,2.37762484171279,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,24976,16597,4974,82685,2368228.97255812,42105.4840902302,1205967.55549456,2380,6.514,3.49142760088291,480916.445809027,24976,42105.4840902302,3.49142760088291,0.664517937219731,6.514,4974,16597,0.335482062780269,0.50485027414593,82685,2368228.97255812,2380,3.49142760088291,1205967.55549456,91950.5949705566,2877166.75254823,2969117.34751879,3366.61300365283,42352.6743383939,45719.2873420467,5817.5610643332,76561.0904334882,82378.6514978214,213,1127,1340,0.0632683351988754,0.0266098898736683,181695.960110456,8330.14484765157,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.0417396615963769,0.584471830928293,NA,NA,NA,-0.0108361589830117,-0.151736488481275,-0.100831618326542,-0.00650975836624317,-0.00123859554649997,0.0327034812194,NA,NA,NA,NA,NA,NA,0,0
1934,574730.774559744,1255945.21982602,1255945.21982602,1255945.21982602,"gross_real_GPIM_stock",13.2616569919742,14.0433990102709,0.622061999745903,8.73586487155875,TRUE,"omega_t * k_t",NA,NA,NA,2956,NA,NA,0.0308202721607679,0.0919989588520626,0.0655802516760946,0.182747603833866,0.0308202721607679,0.0919989588520626,0.0655802516760946,0.182747603833866,2.20698266859889,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,31484,19585,7882,83912,2344140.18453465,44958.4354985846,1255945.21982602,2956,6.871,3.57964939783062,574730.774559744,31484,44958.4354985846,3.57964939783062,0.622061999745903,6.871,7882,19585,0.377938000254097,0.607556803676283,83912,2344140.18453465,2956,3.57964939783062,1255945.21982602,90581.4542410981,2848440.42618221,2939021.88042331,4760.89893524528,46988.5881747226,51749.4871099679,5441.47150891355,77532.7679891194,82974.239498033,286,1279,1565,0.0600726887694929,0.0272193749521514,168191.766968008,8087.34701955723,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",-0.000716275877451045,-0.0100589479484769,NA,NA,NA,-0.010984886766755,-0.154265147948186,-0.0959624864237459,0.0118525976563468,0.178208167312299,0.0406062569384993,NA,NA,NA,NA,NA,NA,0,0
1935,624832.496862521,1315817.98073989,1315817.98073989,1315817.98073989,"gross_real_GPIM_stock",13.3452388877788,14.0899690687937,0.616558357905585,8.68728819199593,TRUE,"omega_t * k_t",NA,NA,NA,3428,NA,NA,0.0315492693298475,0.122490794002442,0.0656102069956578,0.231285493030459,0.0315492693298475,0.122490794002442,0.0656102069956578,0.231285493030459,2.15541821070742,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,34931,21537,9318,83436,2330160.08434244,47115.4706402907,1315817.98073989,3428,7.012,3.58069819153842,624832.496862521,34931,47115.4706402907,3.58069819153842,0.616558357905585,7.012,9318,21537,0.383441642094415,0.621906486511585,83436,2330160.08434244,3428,3.58069819153842,1315817.98073989,92120.2951805395,2827766.50845419,2919886.80363473,7577.60455551464,54285.0408557279,61862.6454112425,5446.29796112115,77563.6209297246,83009.9188908457,448,1489,1937,0.0591215860788045,0.0274292876366673,160447.256275584,7788.80923414402,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",-0.00621991771776909,-0.0876384482538083,NA,NA,NA,-0.0102558895976754,-0.14450516720421,-0.0890958686002997,0.0423444328067262,0.0835818958046008,0.0465700585227999,NA,NA,NA,NA,NA,NA,0,0
1936,710187.227279132,1389267.21833882,1389267.21833882,1389267.21833882,"gross_real_GPIM_stock",13.4732839146478,14.1442869850469,0.61320426040215,8.67333703958144,TRUE,"omega_t * k_t",NA,NA,NA,4422,NA,NA,0.0328294068521751,0.131286574079117,0.0631680122867982,0.230891089108911,0.0328294068521751,0.131286574079117,0.0631680122867982,0.230891089108911,1.98644043619968,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,40184,24641,11261,91866,2340268.77217373,54534.9422243367,1389267.21833882,4422,7.097,3.92544655948519,710187.227279132,40184,54534.9422243367,3.92544655948519,0.61320426040215,7.097,11261,24641,0.38679573959785,0.630777971673227,91866,2340268.77217373,4422,3.92544655948519,1389267.21833882,95625.8299630944,2817184.33421929,2912810.16418238,9646.88779459086,63832.7338823168,73479.6216769077,5779.05123969036,85707.9376725467,91486.9889122371,583,1942,2525,0.0604339982400227,0.0304232622024353,158475.47962012,8466.35904326147,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",-0.00957401522120405,-0.135417618887917,NA,NA,NA,-0.00897575207534784,-0.12695561326035,-0.0778497229332144,0.0511402128834012,0.128045026869,0.0543179162532006,NA,NA,NA,NA,NA,NA,0,0
1937,775257.555795731,1489304.57087629,1489304.57087629,1489304.57087629,"gross_real_GPIM_stock",13.5609505831851,14.2138198380133,0.629079145811021,8.94161764240915,TRUE,"omega_t * k_t",NA,NA,NA,5723,NA,NA,0.0343760798272632,0.116739968108839,0.0660397611671466,0.20793234179061,0.0343760798272632,0.116739968108839,0.0660397611671466,0.20793234179061,1.98622650354946,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,45751,28781,12441,95067,2371024.99259656,59714.1396997445,1489304.57087629,5723,7.402,4.00953175512039,775257.555795731,45751,59714.1396997445,4.00953175512039,0.629079145811021,7.402,12441,28781,0.370920854188979,0.58962509989229,95067,2371024.99259656,5723,4.00953175512039,1489304.57087629,100749.24741546,2830045.88459832,2930795.13201378,11498.4727832382,86997.9802269077,98496.4530101459,6247.28298804501,88351.529570243,94598.812558288,713,2716,3429,0.0620082347839591,0.0312191155808002,165897.878652572,9160.59216696415,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.0063008701876669,0.0895594336702063,NA,NA,NA,-0.00742907910025974,-0.105595591893442,-0.0664279847497356,0.0365936069131232,0.0876666685373007,0.0695328529664003,NA,NA,NA,NA,NA,NA,0,0
1938,702013.014742698,1555545.07764739,1555545.07764739,1555545.07764739,"gross_real_GPIM_stock",13.4617072223556,14.2573365744225,0.633989364345709,9.03899975208095,TRUE,"omega_t * k_t",NA,NA,NA,4467,NA,NA,0.0353708189410258,0.119157173697297,0.0681711988137401,0.212536023054755,0.0353708189410258,0.119157173697297,0.0681711988137401,0.212536023054755,1.99517080941183,"proxy_available","ME_NRC_component_proxy","Tier B","proxy_available","ME_NRC_component_proxy","Tier B",FALSE,"NFCorp",NA,NA,40242,25513,10245,93989,2373175.77724151,61606.9520450536,1555545.07764739,4467,7.19,3.96047359413255,702013.014742698,40242,61606.9520450536,3.96047359413255,0.633989364345709,7.19,10245,25513,0.366010635654291,0.577313526437502,93989,2373175.77724151,4467,3.96047359413255,1555545.07764739,103646.658069796,2826640.54400509,2930287.20207489,9614.02714870064,71069.5511067204,80683.578255421,6360.65691466709,86943.5100260656,93304.1669407327,590,2186,2776,0.0613686638153232,0.0307586014820528,161609.180191191,8692.73243860362,"real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital.","baseline interaction","A03 proxy/escalation","diagnostic",0.0112110887223549,0.159840265280326,NA,NA,NA,-0.00643433998649714,-0.0917365508217548,-0.0581599975427522,0.0390108125015812,-0.0992433608295009,0.0435167364091988,NA,NA,NA,NA,NA,NA,0,0
