"year","ECT","series","window_tag","window_start","window_end"
1947,-0.295217515363339,"p=6","shaikh_window",1947,2011
1948,-0.256616679506114,"p=6","shaikh_window",1947,2011
1949,-0.309083499191013,"p=6","shaikh_window",1947,2011
1950,-0.286638812476869,"p=6","shaikh_window",1947,2011
1951,-0.244053407849543,"p=6","shaikh_window",1947,2011
1952,-0.260158878956466,"p=6","shaikh_window",1947,2011
1953,-0.246393426412627,"p=6","shaikh_window",1947,2011
1954,-0.295748467997805,"p=6","shaikh_window",1947,2011
1955,-0.260976833651626,"p=6","shaikh_window",1947,2011
1956,-0.288085972617544,"p=6","shaikh_window",1947,2011
1957,-0.312775964712635,"p=6","shaikh_window",1947,2011
1958,-0.36436151368274,"p=6","shaikh_window",1947,2011
1959,-0.296082797249506,"p=6","shaikh_window",1947,2011
1960,-0.280682197885929,"p=6","shaikh_window",1947,2011
1961,-0.283491122865593,"p=6","shaikh_window",1947,2011
1962,-0.232791418078145,"p=6","shaikh_window",1947,2011
1963,-0.205330779788099,"p=6","shaikh_window",1947,2011
1964,-0.178893826039443,"p=6","shaikh_window",1947,2011
1965,-0.14498507576022,"p=6","shaikh_window",1947,2011
1966,-0.127210871854525,"p=6","shaikh_window",1947,2011
1967,-0.146112061464019,"p=6","shaikh_window",1947,2011
1968,-0.131787221709255,"p=6","shaikh_window",1947,2011
1969,-0.136317449376223,"p=6","shaikh_window",1947,2011
1970,-0.190492778276077,"p=6","shaikh_window",1947,2011
1971,-0.202173223676419,"p=6","shaikh_window",1947,2011
1972,-0.176342931490048,"p=6","shaikh_window",1947,2011
1973,-0.169685620780966,"p=6","shaikh_window",1947,2011
1974,-0.266724392778561,"p=6","shaikh_window",1947,2011
1975,-0.297587915664628,"p=6","shaikh_window",1947,2011
1976,-0.269409026981023,"p=6","shaikh_window",1947,2011
1977,-0.247476533057245,"p=6","shaikh_window",1947,2011
1978,-0.230654103904911,"p=6","shaikh_window",1947,2011
1979,-0.252192539469586,"p=6","shaikh_window",1947,2011
1980,-0.302094974020859,"p=6","shaikh_window",1947,2011
1981,-0.29731842490186,"p=6","shaikh_window",1947,2011
1982,-0.324818473774818,"p=6","shaikh_window",1947,2011
1983,-0.292233059534074,"p=6","shaikh_window",1947,2011
1984,-0.233758102328663,"p=6","shaikh_window",1947,2011
1985,-0.219415062432843,"p=6","shaikh_window",1947,2011
1986,-0.218688835853368,"p=6","shaikh_window",1947,2011
1987,-0.197280070921258,"p=6","shaikh_window",1947,2011
1988,-0.173084484938391,"p=6","shaikh_window",1947,2011
1989,-0.176836038718021,"p=6","shaikh_window",1947,2011
1990,-0.185591052134749,"p=6","shaikh_window",1947,2011
1991,-0.18941601897648,"p=6","shaikh_window",1947,2011
1992,-0.180207616697519,"p=6","shaikh_window",1947,2011
1993,-0.178454549168667,"p=6","shaikh_window",1947,2011
1994,-0.15557670409726,"p=6","shaikh_window",1947,2011
1995,-0.14080368160505,"p=6","shaikh_window",1947,2011
1996,-0.127426778542027,"p=6","shaikh_window",1947,2011
1997,-0.103265094208557,"p=6","shaikh_window",1947,2011
1998,-0.0906185080659574,"p=6","shaikh_window",1947,2011
1999,-0.0747282577062114,"p=6","shaikh_window",1947,2011
2000,-0.0640053994877219,"p=6","shaikh_window",1947,2011
2001,-0.107153132613974,"p=6","shaikh_window",1947,2011
2002,-0.130505194095636,"p=6","shaikh_window",1947,2011
2003,-0.127863692931202,"p=6","shaikh_window",1947,2011
2004,-0.128360753090954,"p=6","shaikh_window",1947,2011
2005,-0.127895170144218,"p=6","shaikh_window",1947,2011
2006,-0.133460991626362,"p=6","shaikh_window",1947,2011
2007,-0.160286151104355,"p=6","shaikh_window",1947,2011
2008,-0.228817586681269,"p=6","shaikh_window",1947,2011
2009,-0.241088862043179,"p=6","shaikh_window",1947,2011
2010,-0.212600808710575,"p=6","shaikh_window",1947,2011
2011,-0.19919239623003,"p=6","shaikh_window",1947,2011
